,AGE,SEX,BMI,BP,S1,S2,S3,S4,S5,S6
AGE,1.0,0.17373710056366087,0.18904080161628173,0.33542758706707265,0.26336417710952426,0.2241398714237677,-0.08185377135696151,0.20506883096411074,0.27077424141816664,0.30173100763283817
SEX,0.17373710056366087,1.0,0.08843398770376147,0.24101048664904928,0.03241664034166076,0.1392982910280828,-0.38191198491535316,0.33228773641943093,0.14991613649583804,0.20813321620038905
BMI,0.18904080161628173,0.08843398770376147,1.0,0.40059033102615316,0.25096739474841323,0.26251369900540555,-0.3698324464784294,0.41717179250208647,0.44873362956785645,0.391225738996384
BP,0.33542758706707265,0.24101048664904928,0.40059033102615316,1.0,0.24642281207573952,0.19105338954815798,-0.18588374889145093,0.2591859482105763,0.39348010904483216,0.3904300231160365
S1,0.26336417710952426,0.03241664034166076,0.25096739474841323,0.24642281207573952,1.0,0.8950386552310685,0.04712112788959707,0.5381475171429542,0.5178789016404672,0.3240755859107852
S2,0.2241398714237677,0.1392982910280828,0.26251369900540555,0.19105338954815798,0.8950386552310685,1.0,-0.19706567848556558,0.6550594327805678,0.3209989554698812,0.2874149049712443
S3,-0.08185377135696151,-0.38191198491535316,-0.3698324464784294,-0.18588374889145093,0.04712112788959707,-0.19706567848556558,1.0,-0.7508094554950223,-0.408426764446981,-0.2791425339247464
S4,0.20506883096411074,0.33228773641943093,0.41717179250208647,0.2591859482105763,0.5381475171429542,0.6550594327805678,-0.7508094554950223,1.0,0.620965068481097,0.4168424043810517
S5,0.27077424141816664,0.14991613649583804,0.44873362956785645,0.39348010904483216,0.5178789016404672,0.3209989554698812,-0.408426764446981,0.620965068481097,1.0,0.4646688466913679
S6,0.30173100763283817,0.20813321620038905,0.391225738996384,0.3904300231160365,0.3240755859107852,0.2874149049712443,-0.2791425339247464,0.4168424043810517,0.4646688466913679,1.0
